placement,np,threads,iterations,population,features,gather_time,total_time,computation_time,trial,execution
pack,1,1,1000,128,100,0.0,237.0898241997,237.0473849773,0,1
pack,1,1,1000,128,100,0.0,234.8773856163,234.869571209,0,2
pack,1,1,1000,128,100,0.0,235.1943352222,235.1882631779,0,3
pack,1,1,1000,128,100,0.0001032352,244.99868178370002,244.9839501381,1,1
pack,1,1,1000,128,100,0.0001027584,239.0330049992,239.024358511,1,2
pack,1,1,1000,128,100,0.0001084805,237.55401062960001,237.5433719158,1,3
pack,1,1,1000,128,100,0.0,237.058788538,236.9801478386,2,1
pack,1,1,1000,128,100,0.0,237.1447916031,237.1336050034,2,2
pack,1,1,1000,128,100,0.0,236.7404227257,236.7285001278,2,3
pack,1,1,1000,128,100,0.0,253.7949888706,253.7205853462,3,1
pack,1,2,1000,128,100,0.0,201.477887392,201.4425854683,3,1
pack,1,4,1000,128,100,0.0,198.6184647083,198.5853152275,3,1
pack,1,1,1000,128,100,0.0,254.0602457523,254.0077106953,3,2
pack,1,2,1000,128,100,0.0,204.4087774754,204.2250013351,3,2
pack,1,4,1000,128,100,0.0,198.4627845287,198.3372459412,3,2
pack,1,1,1000,128,100,0.0,253.4363150597,253.3951773643,3,3
pack,1,2,1000,128,100,0.0,218.1209213734,218.0661754608,3,3
pack,1,4,1000,128,100,0.0,168.5054209232,168.4713864326,3,3
pack,2,1,1000,128,100,0.0,214.1641120911,214.1502673626,0,1
pack,2,1,1000,128,100,0.0,214.0180695057,214.0012364388,0,2
pack,2,1,1000,128,100,0.0,214.4374392033,214.4308092594,0,3
pack,2,1,1000,128,100,0.0002133846,214.402974844,214.3950462342,1,1
pack,2,1,1000,128,100,0.0002193451,214.8202149868,214.8109147549,1,2
pack,2,1,1000,128,100,0.0002045631,214.9637253285,214.9194376469,1,3
pack,2,1,1000,128,100,0.0,99.3204193115,99.2778155804,2,1
pack,2,1,1000,128,100,0.0,99.7521157265,99.7443473339,2,2
pack,2,1,1000,128,100,0.0,99.32305336,99.3047842979,2,3
pack,2,1,1000,128,100,0.0,103.7511680126,103.6698429585,3,1
pack,2,2,1000,128,100,0.0,76.255248785,76.1820280552,3,1
pack,2,4,1000,128,100,0.0,73.1633691788,73.1012854576,3,1
pack,2,1,1000,128,100,0.0,119.0492870808,119.0048947334,3,2
pack,2,2,1000,128,100,0.0,114.4378910065,114.3642435074,3,2
pack,2,4,1000,128,100,0.0,116.7338387966,116.6947555542,3,2
